id,timestamp,name,category_header_id,active,user_id
0,2022/11/06 23:59:59,drink,0,1,1
1,2022/11/06 23:59:59,dish,0,1,1
2,2022/11/06 23:59:59,ingredient,0,1,1
3,2022/11/06 23:59:59,animal origin,1,1,1
4,2022/11/06 23:59:59,plant origin,1,1,1
5,2022/11/06 23:59:59,fungal origin,1,1,1
6,2022/11/06 23:59:59,meats,3,1,1
7,2022/11/06 23:59:59,fish,2,1,1
8,2022/11/06 23:59:59,mammal,2,1,1
9,2022/11/06 23:59:59,bird,2,1,1
10,2022/11/06 23:59:59,reptile,2,1,1
11,2022/11/06 23:59:59,insect,2,1,1
12,2022/11/06 23:59:59,crustaceans and mollusks,2,1,1
13,2022/11/06 23:59:59,dairy,3,1,1
14,2022/11/06 23:59:59,milks,3,1,1
15,2022/11/06 23:59:59,cheeses,3,1,1
16,2022/11/06 23:59:59,eggs,3,1,1
17,2022/11/06 23:59:59,cereals,4,1,1
18,2022/11/06 23:59:59,leafy,5,1,1
19,2022/11/06 23:59:59,gourd and squash,5,1,1
20,2022/11/06 23:59:59,chili peppers,5,1,1
21,2022/11/06 23:59:59,flowers,5,1,1
22,2022/11/06 23:59:59,bulb and stem,5,1,1
23,2022/11/06 23:59:59,root,5,1,1
24,2022/11/06 23:59:59,sea vegetable,5,1,1
25,2022/11/06 23:59:59,mushrooms,4,1,1
26,2022/11/06 23:59:59,legume and nut,4,1,1
27,2022/11/06 23:59:59,fats and oil,7,1,1
28,2022/11/06 23:59:59,sweets and sugar,7,1,1
29,2022/11/06 23:59:59,herb and spice,7,1,1
30,2022/11/06 23:59:59,condiment,7,1,1
31,2022/11/06 23:59:59,supplement,7,1,1
32,2022/11/06 23:59:59,fruit,4,1,1
33,2022/11/06 23:59:59,pome or accessory,6,1,1
34,2022/11/06 23:59:59,drupe or stone,6,1,1
35,2022/11/06 23:59:59,berry,6,1,1
36,2022/11/06 23:59:59,citrus,6,1,1
37,2022/11/06 23:59:59,pepo and melon,6,1,1
38,2022/11/06 23:59:59,multiple fruits,6,1,1
39,2022/11/06 23:59:59,capsules,6,1,1
40,2022/11/06 23:59:59,spring,8,1,1
41,2022/11/06 23:59:59,summer,8,1,1
42,2022/11/06 23:59:59,fall,8,1,1
43,2022/11/06 23:59:59,winter,8,1,1
44,2022/11/06 23:59:59,preworkout,9,1,1
45,2022/11/06 23:59:59,postworkout,9,1,1
46,2022/11/06 23:59:59,breakfast,9,1,1
47,2022/11/06 23:59:59,lunch,9,1,1
48,2022/11/06 23:59:59,dinner,9,1,1
49,2022/11/06 23:59:59,supper,9,1,1
50,2022/11/06 23:59:59,snack,9,1,1
51,2022/11/06 23:59:59,desert,9,1,1
52,2022/11/06 23:59:59,macdonalds,10,1,1
53,2022/11/06 23:59:59,vegetable,4,1,1
54,2022/11/06 23:59:59,sheng shiong,10,1,1
55,2022/11/06 23:59:59,ntuc,10,1,1
56,2022/11/06 23:59:59,giant,10,1,1
